,Question,Answer
0,Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos
1,Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers
2,Where did Super Bowl 50 take place?,"Santa Clara, California"
3,Which NFL team won Super Bowl 50?,Denver Broncos
4,What color was used to emphasize the 50th anniversary of the Super Bowl?,gold
5,What was the theme of Super Bowl 50?,"""golden anniversary"""
6,What day was the game played on?,"February 7, 2016"
7,What is the AFC short for?,American Football Conference
8,What was the theme of Super Bowl 50?,"""golden anniversary"""
9,What does AFC stand for?,American Football Conference
10,What day was the Super Bowl played on?,"February 7, 2016"
11,Who won Super Bowl 50?,Denver Broncos
12,What venue did Super Bowl 50 take place in?,Levi's Stadium
13,What city did Super Bowl 50 take place in?,Santa Clara
14,"If Roman numerals were used, what would Super Bowl 50 have been called?",Super Bowl L
15,Super Bowl 50 decided the NFL champion for what season?,2015
16,What year did the Denver Broncos secure a Super Bowl title for the third time?,2015
17,What city did Super Bowl 50 take place in?,Santa Clara
18,What stadium did Super Bowl 50 take place in?,Levi's Stadium
19,What was the final score of Super Bowl 50? ,24–10
20,"What month, day and year did Super Bowl 50 take place? ","February 7, 2016"
21,What year was Super Bowl 50?,2015
22,What team was the AFC champion?,Denver Broncos
23,What team was the NFC champion?,Carolina Panthers
24,Who won Super Bowl 50?,Denver Broncos
25,Super Bowl 50 determined the NFL champion for what season?,2015
26,Which team won Super Bowl 50.,Denver Broncos
27,Where was Super Bowl 50 held?,"Santa Clara, California."
28,The name of the NFL championship game is?,Super Bowl
29,What 2015 NFL team one the AFC playoff?,Denver Broncos
30,Which Carolina Panthers player was named Most Valuable Player?,Cam Newton
31,How many appearances have the Denver Broncos made in the Super Bowl?,8
32,What year was the Carolina Panthers franchise founded?,1995
33,What team did the Panthers defeat?,Arizona Cardinals
34,Who did the Broncos prevent from going to the Super Bowl?,New England Patriots
35,Who did the Panthers beat in the NFC Championship Game?,Arizona Cardinals
36,Who lost to the Broncos in the AFC Championship?,New England Patriots
37,Who were the defending Super Bowl champions?,New England Patriots
38,How many teams have been in the Super Bowl eight times?,four
39,Who was this season's NFL MVP?,Cam Newton
40,What was the win/loss ratio in 2015 for the Carolina Panthers during their regular season?,15–1
